GEOID,town_name,aland_sqm,awater_sqm,town_area_sqm,pct_river_corridor,pct_high_risk_NFHL,nfhl_covered_flag,median_income,median_income_moe,total_population,total_population_moe,percent_elderly,percent_elderly_moe,median_year_house_built,median_year_house_built_moe,pct_no_vehicle,pct_no_vehicle_moe,occupied_housing_units,occupied_housing_units_moe,pct_renter_occupied,pct_renter_occupied_moe,pct_bachelors_or_higher,pct_bachelors_or_higher_moe,pct_below_poverty,pct_below_poverty_moe,percent_with_disability,percent_with_disability_moe,pct_mobile_home,pct_mobile_home_moe,nfip_claims,total_nfip_claims_paid,2011_2022_nfip_claims,2023_plus_nfip_claims,pre_2011_nfip_claims,2011_2022_nfip_claims_count,2023_plus_nfip_claims_count,pre_2011_nfip_claims_count,claims_paid_per_capita,claims_paid_per_housing_unit,irene_policies,flood2023_policies,today_policies,current_insurance_penetration,funding_acquisition_buyouts,funding_admin,funding_ecosystem_restoration,funding_equipment,funding_flood_control,funding_infrastructure_protection,funding_infrastructure_stormwater,funding_other,funding_planning,funding_structure_protection,federalShareObligated_adj,numberOfFinalProperties,numberOfProperties,2011_2022,2023_plus,pre_2011,cost_per_property,cost_per_final_property,share_acquisition_buyouts,share_admin,share_ecosystem_restoration,share_equipment,share_flood_control,share_infrastructure_protection,share_infrastructure_stormwater,share_other,share_planning,share_structure_protection,funding_per_capita,log_funding_per_capita,funding_per_occupied_unit,log_funding_per_occupied_unit,has_funding
5000100325,Addison town,107710362,19168382,126878736.0,3.2029443098973385,0.0,0,106667.0,7181.0,1175,185,27.148936170212767,6.32232404285933,1980.0,6.0,0.6122448979591837,0.8195369894697867,490,58,10.816326530612246,5.260227016158163,40.20156774916013,8.576477396596806,4.51063829787234,3.394276543403608,11.063829787234042,3.756212908335365,8.99390243902439,4.696541317694722,,,,,,,,,,,,,1.0,0.0020408163265306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
5001900475,Albany town,99830311,1135549,100965867.0,3.6863522451888127,0.0,0,59167.0,13730.0,934,281,16.38115631691649,6.486895270519737,1983.0,10.0,1.7766497461928936,2.0638500882604203,394,82,6.852791878172589,5.517467692140151,45.25790349417637,17.799379546522196,8.029978586723768,4.105189386509486,27.62312633832976,18.233381862334767,6.981132075471698,3.959381032846911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
5001300860,Alburgh town,75373352,47562250,122935601.0,0.2669187528937311,0.0,0,76429.0,22453.0,1832,231,27.074235807860266,5.830511333695005,1984.0,4.0,0.6361323155216284,1.0210888563930514,786,101,7.124681933842239,3.555021084214146,27.55244755244755,9.795281311766775,11.431742508324083,4.985009383280494,23.580786026200872,6.76154661212723,22.69180754226268,7.15795100780709,,,,,,,,,,,15.0,13.0,15.0,0.0190839694656488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
5002701300,Andover town,74720639,149987,74870626.0,1.920217937351524,0.6676932450793971,1,102500.0,37746.0,616,120,22.727272727272727,7.6087744647567455,1980.0,5.0,0.0,4.201680672268908,238,45,17.22689075630252,10.597027390749336,43.3264887063655,16.52436983489494,4.567699836867863,2.6052360093111098,6.493506493506493,5.186474911460973,3.3678756476683938,3.4110434968850134,3.0,54002.36103948191,10216.16362519105,0.0,43786.19741429087,1.0,1.0,1.0,87.66617051863946,226.9006766364786,2.0,5.0,6.0,0.0252100840336134,145285.18396558578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145285.18396558578,1.0,1.0,145285.18396558578,0.0,0.0,145285.18396558578,145285.18396558578,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.85257137270415,5.467437885855917,610.4419494352344,6.415820019198606,True
5000301450,Arlington town,108847993,491791,109339770.0,4.52166845115246,4.365822389075959,1,102308.0,10759.0,2598,379,20.70823710546574,5.316486150736472,1966.0,6.0,3.4722222222222223,3.043331688828812,864,113,15.97222222222222,5.6116386557182,55.90885002649708,13.450354586597296,7.459207459207459,2.998787826682608,10.931485758275596,3.646002121994739,3.3734939759036147,2.510404670386721,5.0,64229.48489232477,64229.48489232477,0.0,0.0,5.0,0.0,0.0,24.722665470486824,74.33968158833885,20.0,25.0,21.0,0.0243055555555555,0.0,0.0,0.0,0.0,4473.224018482285,4473.224018482285,0.0,0.0,0.0,4473.224018482285,13419.672055446856,1.0,1.0,13419.672055446856,0.0,0.0,13419.672055446856,13419.672055446856,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,5.165385702635433,1.818950697941616,15.53202784195238,2.8052995807729397,True
5002501900,Athens town,36137937,197266,36335204.0,1.9216920837925744,2.048010163990972,1,68438.0,30472.0,431,99,21.57772621809745,8.395523161005404,1973.0,8.0,13.966480446927374,9.369501402114029,179,36,26.256983240223462,14.410267947446007,30.275229357798167,12.042303474208625,12.064965197215775,6.85011639374261,20.18561484918793,8.978100902829386,19.73684210526316,9.870683635262784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
5000902125,Averill town,93269918,5318195,98588267.0,1.0192742024863453,0.0,0,,,9,9,22.22222222222222,370.6850515024951,1973.0,14.0,0.0,111.11111111111111,9,9,0.0,111.11111111111111,22.22222222222222,196.57562236615703,0.0,111.11111111111111,0.0,384.9001794597506,0.0,3.4129692832764507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
5000902162,Avery's gore,47207744,85001,47292818.0,0.4977601296901265,0.0,0,,,0,10,,,,,,,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
5001102500,Bakersfield town,108990794,256695,109247504.0,2.598216933304659,0.0,0,83462.0,18450.0,1109,180,21.19026149684401,6.208639916560415,1982.0,3.0,2.9017857142857144,2.939022032243846,448,72,6.026785714285714,4.786525245446134,39.22984356197352,11.16752135814725,7.303877366997296,3.882441647073952,13.706041478809738,5.244415809078865,4.914933837429111,4.407808726604219,,,,,,,,,,,2.0,1.0,1.0,0.0022321428571428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
5002702575,Baltimore town,12314212,23776,12337991.0,0.0,0.0,1,107500.0,15622.0,361,78,14.681440443213296,6.1201749380667145,1977.0,10.0,0.0,7.462686567164178,134,30,14.17910447761194,8.8013594791762,25.46816479400749,11.070815450885943,1.10803324099723,1.4055805538693789,12.18836565096953,7.890515598426435,15.384615384615383,9.646846814059188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
